,現地平均気圧 (hPa),海面平均気圧 (hPa),降水量合計 (mm),最大日降水量 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),日平均気温,日最高気温,日最低気温,最高気温,最低気温,平均湿度 (%),最小湿度 (%),平均風速 (m/s),最大風速 (m/s),最大風速の風向,最大瞬間風速 (m/s),最大瞬間風速風向,日照時間 (h),全天日射量 (MJ/M**2),降雪合計 (cm),降雪の日合計の最大 (cm),最深積雪,雲量,雪日数,霧日数,雷日数
1910,　,1012.1 ],1431.4 ],141.4 ],　,　,15.9 ],20.2 ],12.0 ],29.9 ],-5.8 ],85 ],　,　,　,,　,,927.4 ],　,　,　,　,　,　,　,　
1966,1012.7,1013.3,1626.7,227.2,36.0,19.6,13.2,17.6,8.9,30.8,-6.9,73.0,21.0,3.2,20.5,南南東,　,,2149.2,13.4,0.0,0.0,0.0,6.3,11.0,46.0,17.0
1967,1013.5,1014.1,1506.3,100.3,34.8,10.3,13.5,17.7,9.4,32.4,-9.2,74.0,18.0,3.0,14.8,南南西,22.9,,2205.7,13.6,10.0,10.0,9.0,5.9,16.0,16.0,13.0
1968,1013.4,1014.0,1315.5,93.0,33.5,11.0,13.2,17.5,9.0,31.3,-6.7,75.0,19.0,3.0,15.2,南,24.6,,2168.7,13.5,35.0,19.0,19.0,6.2,21.0,31.0,14.0
1969,1013.5,1014.1,1409.0,89.5,58.0,18.5,12.9,17.2,8.8,30.7,-5.9,73.0,22.0,2.9,16.8,南南東,25.5,,2062.4,12.9,44.0,11.0,11.0,6.3,22.0,41.0,10.0
1970,1014.2,1014.8,1138.5,192.5,19.5,9.5,12.6,16.9,8.5,31.5,-8.2,71.0,12.0,3.0,16.7,南東,28.0,,2229.5,13.5,29.0,12.0,9.0,6.0,26.0,31.0,8.0
1971,1013.5,1014.1,1697.0,225.0,50.5,15.5,12.8,17.0,8.7,31.7,-7.2,72.0,19.0,2.8,15.7,北北東,29.4,,2180.5,13.4,5.0,2.0,2.0,5.8,19.0,28.0,24.0
1972,1013.7,1014.3,1270.0,90.0,23.5,7.5,13.4,17.5,9.3,33.7,-5.6,73.0,16.0,3.1,16.7,南南東,26.9,,2284.2,13.6 ],1.0,1.0,1.0,6.1,11.0,23.0,15.0
1973,1013.6,1014.2,1040.0,68.5,44.0,15.5,12.8,17.2,8.6,32.5,-5.9,72.0,19.0,2.8,14.7,北西,22.2,,2350.1,13.4,0.0,0.0,,5.8,11.0,25.0,24.0
1974,1013.7,1014.3,1316.5,64.5,34.5,9.0,12.2,16.2,8.5,30.0,-6.2,73.0,21.0,2.9,14.0,南,22.5,,2194.1,12.9,25.0,9.0,9.0,6.2,32.0,48.0,17.0
1975,1013.7,1014.2,1252.5,118.5,29.5,12.5,12.6,16.6,8.8,31.0,-5.9,75.0,22.0,2.3,12.9,北西,21.9,,2323.7,13.5,6.0,4.0,4.0,5.9,32.0,49.0,11.0
1976,1013.9,1014.5,1597.0,87.0,27.5,7.5,12.4,16.4,8.4,30.8,-7.6,74.0,19.0,2.5,11.5,北北西,20.0,,2203.8,12.7,0.0,0.0,0.0,6.1,16.0,40.0,17.0
1977,1014.3,1014.8,1591.0,209.5,42.5,10.5,6.9 ],11.5 ],2.5 ],25.7 ],-8.2 ],62 ],15 ],2.5,11.8,北北西,19.2,,2291.5,13.4,5.0,2.0,3.0,6.2,25.0,35.0,10.0
1978,1013.5,1014.0,954.0,63.5,26.5,7.0,×,×,×,×,×,×,×,2.4,15.1,北北西,23.0,北西,2412.1,13.4,15.0,4.0,4.0,5.6,25.0,42.0,16.0
1979,1013.5,1014.1,1597.0,151.5,29.0,13.5,18.3 ],22.0 ],14.8 ],31.5 ],-1.4 ],76 ],26 ],2.7,22.3,南,37.2,南,2201.6,13.3,2.0,1.0,2.0,6.3,9.0,12.0,21.0
1980,1013.2,1013.8,1390.5,95.0,18.0,5.0,12.7,16.6,8.8,30.6,-5.0,71.0,15.0,2.6,15.6,北北西,30.6,北,2102.7,13.7,15.0,7.0,7.0,6.3,17.0,27.0,8.0
1981,1013.4,1013.9,1373.0,127.5,37.0,9.5,11.8,16.0,7.9,31.9,-5.7,71.0,19.0,2.4,19.5,南,31.0,南,2268.5,14.3,7.0,4.0,3.0,6.0,22.0,57.0,12.0
1982,1014.1,1014.7,1505.5,102.5,47.5,12.0,12.9,16.9,9.0,32.2,-7.6,72.0,20.0,2.6,14.5,南,24.9,南,2229.0,14.2,3.0,2.0,2.0,6.1,15.0,31.0,18.0
1983,1013.5,1014.1,1200.5,93.0,22.0,9.0,12.4,16.5,8.8,34.3,-6.2,73.0,20.0,2.6,12.1,北北西,23.4,北西,2256.2,13.5,3.0,1.0,1.0,6.0,16.0,35.0,15.0
1984,1014.2,1014.7,813.0,48.0,20.0,11.5,11.7,15.7,7.9,34.3,-7.3,73.0,18.0,2.8,14.2,北西,28.1,北西,2440.5,14.3,61.0,17.0,18.0,5.9,35.0,45.0,9.0
1985,1014.2,1014.8,1400.0,89.0,23.0,9.0,12.9,16.8,9.3,32.2,-8.5,75.0,21.0,2.8,16.4,南南東,29.6,北西,2302.1,13.3,37.0,15.0,11.0,6.3,16.0,31.0,7.0
1986,1013.5,1014.1,1468.0,194.5,38.0,16.0,12.3,16.2,8.5,33.9,-6.8,74.0,19.0,2.8,13.5,西北西,31.1,北西,2052.4,13.8,33.0,11.0,11.0,6.2,27.0,42.0,8.0
1987,1014.3,1014.8,1112.5,81.5,27.5,10.5,13.1,17.3,9.3,32.9,-5.3,73.0,14.0,2.8,13.7,北北西,27.6,北西,2146.9,13.7,45.0,10.0,11.0,6.3,22.0,39.0,15.0
1988,1013.2,1013.7,1511.5,154.0,32.5,9.0,12.9,16.9,9.2,30.0,-5.5,71.0,19.0,3.0,17.1,北北西,31.1,北北西,1948.8,12.8,10.0,5.0,4.0,6.5,22.0,23.0,14.0
1989,1014.4,1014.9,1595.5,120.0,24.0,10.5,13.9,17.7,10.2,33.5,-3.2,73.0,15.0,2.9,14.6,南東,30.4,南東,1966.4,13.6,0.0,0.0,0.0,6.3,6.0,23.0,15.0
1990,1014.5,1015.1,1427.0,84.5,30.0,8.5,14.5,18.4,10.8,33.3,-5.6,73.0,21.0,2.8,14.6,南,26.6,南,2000.8,13.6,30.0,14.0,14.0,6.2,17.0,24.0,13.0
1991,1013.3,1013.9,1758.0,157.5,32.5,10.5,14.0,17.9,10.3,33.6,-4.3,72.0,17.0,2.8,14.7,南,28.0,南東,1894.7,12.8,3.0,1.0,1.0,6.7,16.0,20.0,12.0
1992,1013.9,1014.4,1409.0,84.0,29.0,10.0,13.4,17.4,9.6,34.3,-3.6,72.0,18.0,2.8,13.9,北北東,26.6,北北東,1936.9,13.1,23.0,16.0,16.0,6.6,20.0,54.0,22.0
1993,1013.5,1014.1,1545.5,119.0,32.0,9.5,13.1,16.8,9.5,33.3,-2.9,72.0,15.0,2.8,12.1,北西,26.6,北西,1819.2,13.1,0.0,0.0,,6.7,13.0,30.0,16.0
1994,1013.5,1014.1,1325.0,115.5,45.0,18.5,14.3,18.2,10.6,37.7,-5.0,71.0,19.0,2.8,14.1,西北西,33.5,西北西,2247.3,14.7,45.0,25.0,21.0,6.2,18.0,37.0,16.0
1995,1012.8,1013.4,1347.5,114.0,24.0,14.0,13.8,17.8,10.2,34.2,-5.0,70.0,17.0,2.8,12.6,北西,25.8,北西,2083.4,13.7,0.0,0.0,0.0,6.2,16.0,28.0,23.0
1996,1013.7,1014.2,1212.5,189.0,34.0,15.5,13.1,17.1,9.2,36.8,-5.8,69.0,18.0,2.7,11.5,北北西,33.0,北,2214.2,14.3,8.0,4.0,4.0,6.1,20.0,30.0,8.0
1997,1013.4,1014.0,1266.5,143.5,30.5,11.0,13.9,18.0,10.1,34.3,-3.6,70.0,18.0,2.8,13.2,北西,27.8,北西,2089.9,14.1,2.0,1.0,1.0,6.0,7.0,31.0,15.0
1998,1014.6,1015.2,1534.0,69.5,27.0,11.5,13.7,17.7,10.3,31.3,-5.1,77.0,17.0,2.6,18.5,南南東,32.4,南東,1683.8,12.4,38.0,13.0,17.0,6.9,21.0,43.0,18.0
1999,1013.5,1014.1,1686.0,156.0,48.5,13.5,14.4,18.6,10.6,32.8,-4.0,72.0,15.0,2.8,16.0,北西,30.9,西北西,2228.0,14.3,1.0,1.0,1.0,6.0,19.0,18.0,15.0
2000,1013.0,1013.6,1295.0,103.5,27.0,9.0,13.8,17.9,10.3,33.0,-5.2,71.0,15.0,2.6,15.1,南南東,24.9,南,2096.9,14.0,2.0,2.0,2.0,6.3,17.0,36.0,24.0
2001,1013.1,1013.7,1216.0,109.5,31.5,14.0,13.5,17.8,9.7,34.4,-5.7,69.0,15.0,2.9,13.1,北北西,24.3,北北西,2178.6,14.3,9.0,5.0,5.0,6.2,31.0,15.0,13.0
2002,1013.1,1013.7,1249.0,109.5,37.5,15.0,13.7,17.8,10.0,34.4,-4.2,71.0,12.0,2.7,28.8,南南東,48.1,南東,2083.2,13.8,0.0,0.0,0.0,6.5,12.0,26.0,19.0
2003,1014.0,1014.6,1519.0,67.5,38.5,15.0,12.9,16.7,9.5,33.2,-5.0,75.0,17.0,2.7,13.0,南南東,31.1,北西,1850.5,12.9,17.0,14.0,15.0,6.8,24.0,36.0,12.0
2004,1014.0,1014.6,1364.0,162.0,27.0,12.0,13.7,17.8,10.2,34.6,-3.6,72.0,12.0,2.8,14.4,南南東,26.9,北北東,2164.5,14.0,2.0,2.0,2.0,6.4,17.0,34.0,14.0
2005,1012.4,1013.0,1127.5,78.5,29.5,10.0,13.2,17.2,9.8,33.7,-4.3,71.0,15.0,2.8,13.3,北西,29.7,北西,2086.8,13.9,16.0,7.0,7.0,6.5,24.0,34.0,20.0
2006,1013.5,1014.2,1989.5,186.0,25.5,13.0,13.8,17.6,10.4,31.9,-6.4,71.0,14.0,2.8,15.0,北北東,32.7,北北東,1808.6,12.9,1.0,1.0,1.0,7.2,22.0,20.0,15.0
2007,1013.2,1013.9,1500.5,150.0,69.5,31.5,14.2,18.3,10.7,36.9,-2.2,71.0,15.0,2.8,17.4,南南東,35.4,東南東,2184.6,14.3,0.0,0.0,,6.5,8.0,10.0,17.0
2008,1013.7,1014.4,1273.0,125.5,46.5,16.0,13.6,17.6,10.1,33.4,-4.3,72.0,8.0,2.7,15.7,南南東,26.4,西,1979.8,15.0 ],1.0,1.0,1.0,7.1 ],14.0,0 ],18 ]
2009,1013.1,1013.7,1489.5,128.5,50.0,14.0,14.0,18.0,10.3,31.8,-3.9,70.0,14.0,2.8,14.8,北北東,29.3,北,1940.3,　,×,×,×,　,15 ],24.0,　
2010,1013.8,1014.4,1753.0,178.5,34.5,9.5,13.8,17.9,10.2,34.4,-4.8,74.0,18.0,2.6,15.8,南南東,24.8,南南東,1992.7,　,　,　,　,　,28.0,33.0,　
2011,1013.8,1014.4,1415.0,158.0,34.5,15.0,13.6,17.7,10.0,33.5,-4.5,71.0,13.0,2.7,20.0,南南東,29.0,南南東,2032.6,　,　,　,　,　,14.0,22.0,　
2012,1013.4,1014.0,1529.5,66.0,34.0,13.5,13.4,17.4,10.0,31.7,-5.0,72.0,16.0,2.9,17.0 ],南,26.8 ],南,2213.3,　,　,　,　,　,25.0,18.0,　
2013,1012.8,1013.4,1302.0,101.0,29.5,12.0,13.7,18.0,10.0,33.7,-4.6,72.0,18.0,2.9,17.2,南南東,29.3,北,2177.9,　,　,　,　,　,31.0,27.0,　
2014,1013.6,1014.2,1733.5,146.5,49.0,17.5,13.7,18.0,10.0,33.5,-5.6,72.0,15.0,2.9,16.0,南南東,25.8,北,2244.9,　,　,　,　,　,22.0,21.0,　
2015,1013.8,1014.4,1329.5,87.5,34.5,13.5,14.3,18.2,10.8,34.1,-3.5,74.0,19.0,2.9,15.5,南,25.3,北西,2114.2,　,　,　,　,　,34.0,19.0,　
2016,1014.3,1014.9,1337.5,116.5,38.0,13.0,14.5,18.6,10.9,35.5,-3.3,73.0,16.0,3.0,21.9,南,34.3,南,2180.1,　,　,　,　,　,23.0,10.0,　
2017,1012.9,1013.5,1265.5,92.0,39.0,24.0,13.7,17.8,10.0,31.8,-4.1,72.0,18.0,3.0 ],17.5 ],西北西,32.8 ],西北西,2122.2,　,　,　,　,　,31.0,10.0,　
2018,1014.0,1014.6,1393.0,76.0,46.5,11.5,14.7,18.8,11.0,34.3,-5.2,74.0,17.0,3.2,21.6,南南東,41.5,南東,2235.4,　,　,　,　,　,29.0,11.0,　
2019,1013.9,1014.5,1672.0,193.0,61.0,16.5,14.5,18.6,10.7,33.2,-3.5,73.0,15.0,3.3,18.5,南南東,32.1,南南東,2143.3,　,　,　,　,　,18.0,15.0,　
2020,1013.7,1014.3,1384.5,84.5,35.5,13.5,14.6,18.5,11.1,32.8,-5.5,76.0,20.0,3.2,16.6,北西,29.3,北北東,2031.6,　,　,　,　,　,12.0,18.0,　
2021,1016.3 ],1016.9 ],598.5 ],94.5 ],55.0 ],16.5 ],8.3 ],13.0 ],3.5 ],25.1 ],-5.6 ],63 ],14 ],3.9 ],15.8 ],北西,26.8 ],北西,911.4 ],　,　,　,　,　,11 ],0 ],　
